"Profile Information","Информаци�? о профиле"
"Admin Approval is required. Please wait until admin confirms your Seller Account","Одобрени�? админи�?тратором требует�?�?. Пожалуй�?та, подождите, пока админ не подтверждает ваш �?чет продавца"
"Your product is added successfully","Данное изделие у�?пешно добавлен"
"Please enter all required fields","Пожалуй�?та, введите в�?е об�?зательные пол�?"
"You don't have enough permission to edit this product details.","Вы не хватает прав на выполнение �?той продукции детали."
"Product Deleted Successfully","Удаленные продукт У�?пешно"
"Admin Approval is required for Seller Account","Одобрени�? админи�?тратором требует�?�? дл�? Продавец Счет"
"An error occured while saving your data","Произошла ошибка при �?охранении данных"
"Payment successful","Оплата у�?пешным"
"Seller Manager","Продавец-менеджер"
"Seller News","Продавец �?ово�?ти"
"Seller details does not exist","Информаци�? о продавце не �?уще�?твует"
"Seller approved successfully.","Продавец у�?пешно апробирован."
"Seller details not updated","Информаци�? о продавце не обновл�?ет�?�?"
"Please select at least one seller","Пожалуй�?та, выберите хот�? бы один продавец"
"Seller disapproved.","Продавец не одобр�?ли."
"Seller successfully deleted","Продавец у�?пешно удален"
"Approve","утвердить"
"Disapprove","не одобр�?ть"
"Disapproved","Отклонено"
"Approved","утвержденный"
"Maximum 255 chars","Мак�?имальные 255 �?имволов"
"Your profile information is saved successfully","�?нкетные данные у�?пешно �?охранены"
"Your product details are updated successfully.","Ваши �?ведени�? о продукте у�?пешно обновлены."
"Are you sure want to delete?","Вы уверены, что хотите удалить?"
"Images","изображени�?"
"Manage Sellers","Управление Продавцы"
"Disabled","инвалид"
"Click the button to become a Seller","�?ажмите кнопку, чтобы �?тать продавцом"
"Turn in to a seller today and enjoy some incredible benefits like adding logo to your profile page for better branding, setting up multiple products to improve conversions, etc.","Поверните, чтобы продавец �?егодн�? и пользуют�?�? некоторые неверо�?тные преимуще�?тва, такие как добавление логотипа на �?траницу �?воего профил�? дл�? лучшего брендинг, �?оздание не�?кольких продуктов дл�? улучшени�? конвер�?ии и т.д.."
"Meta Title","При �?азвание"
"Most Popular","Самые попул�?рные"
"Seller Dashboard","Продавец аве�"
"Life Time Sales","Продажи Врем�? жизни"
"Average Orders","Средние Заказы"
"Last Five Orders","По�?ледние п�?ть Заказы"
"Order Id","Заказать Id"
"Price","цена"
"Quantity","количе�?тво"
"Most Viewed Products","�?ет про�?мотро�"
"No of Views","�?ет про�?мотров"
"Manage Products","Управление продукты"
"Action","дей�?твие"
"Submit","пред�?тавл�?ть"
"S.NO","S.NO"
"Status","�?тату�?"
"Select a status","Выберите �?тату�?",
"Enabled","Включено"
"Select a Status","Выберите �?тату�?"
"Select a Range","Выбор диапазона"
"Today","�?егодн�?"
"Yesterday","вчера"
"Last Week","�?а прошлой неделе"
"Last Month","По�?ледний ме�?�?ц"
"Product Details","Подробнее"
"Product price","цена продукта"
"Transaction Id","ID транзакции"
"Admin Commission","ID транзакции"
"Paid On","транзакции"
"Acknowledged on","транзакции"
"Transaction History","транзакции"
"Contact Number","транзакции"
"Profile Image","транзакции"
"Remove","транзакции"
"Display your profile link in produt detail page","транзакции"
"Contact Admin","транзакции"
"Contact Information","транзакции"
"Subject","транзакции"
"Message","транзакции"
"Engage","транзакции"
"Join us on facebook","транзакции"
"Join us on twitter","транзакции"
"Sellers","транзакции"
"Register as seller","транзакции"
"Seller dashboard","транзакции"
"Our sellers","транзакции"
"View all","транзакции"
"Top Sellers","транзакции"
"Feedback Ratings","транзакции"
"Positive","транзакции"
"Neutral","транзакции"
"Negative","транзакции"
"5 Stars","5 транзакции"
"4 Stars","4 транзакции"
"3 Stars","3 транзакции"
"2 Stars","2 транзакции"
"1 Stars","1 транзакции"
"Member since","транзакции"
"Location","транзакции"
"Select One Category","транзакции"
"Name","транзакции"
"Categories","транзакции"
"Order Date:","транзакции"
"Back to Orders","транзакции"
"Seller Amount","транзакции"
"Share with us","транзакции"
"Sales Report","транзакции"
"No Transactions to Show","транзакции"
"View All","транзакции"
"All sellers","транзакции"
"There is no seller(s) to show","транзакции"
"Seller login","транз�"
"Latest Arrivals","анзакци"
"Payment Status","транзакции"
"Acknowledge","транзакции"
"Select an option","транзакции"
"Order Id #","транзакции"
"Email to your Friend","транзакции"
"item(s)","транзакции"
"Search for products...","транзакции"
"Buy Now","транзакции"
"Marketplace","транзакции"
"Payments","транзакции"
"Contact","транзакции"
"#Products","транзакции"
"Commission(%)","транзакции"
"Total Sales","транзакции"
"Received","транзакции"
"Remaining","транзакции"
"Set Commission","транзакции"
"Commission","транзакции"
"Seller detail","транзакции"
"Product details","транзакции"
"Product Price","транзакции"
"Seller's Earned Amount","транзакции"
"Commission Fee","транзакции"
"Order At","транзакции"
"Ack Status","транзакции"
"Ack On","транзакции"
"Seller ID","транзакции"
"Amount Received","транзакции"
"Payment Mode","транзакции"
"Seller Id","транзакции"
"Seller Email","транзакции"
"Review ID","транзакции"
"Rating","транзакции"
"Activate Marketplace","транзакции"
"Email ID","транзакции"
"Seller Approval","транзакции"
"Select Seller Registration Email Template","транзакции"
"Select Admin Approval Email Template","транзакции"
"Select Admin Disapproval Email Template","транзакции"
"Select Contact Admin Email Template","транзакции"
"Sales Email Notification","транзакции"
"Select Sales Notification Email Template","транзакции"
"Display seller profile link in product detail page","транзакции"
"Display Popular Product in seller profile page","транзакции"
"Display New Product in seller profile page","транзакции"
"Display Category link in seller profile page","транзакции"
"Product Configuration","транзакции"
"Seller Configuration","транзакции"
"General Configuration","транзакции"
"Product Auto Approval","транзакции" 
"Select Product Type(s)","транзакции"
"Product Custom Option","транзакции"
"New Product Email Notification","транзакции"
"Select Email Template for New Product Added Notification","транзакции"
"Select Email Template for New Product Approval Notification","транзакции"
"Product Enabled/Disabled Email Notification","транзакции"
"Select Email Template for Product Enabled Notification","транзакции"
"Seller Review","транзакции"
"Enable Seller Review","транзакции"
"Select Email Template for New Review Notification","транзакции"
"Select Email Template for Review Approval Notification","транзакции"
"Product Auto Approval","транзакции"
"Need Admin Approval","транзакции"
"Seller Registration Notification","транзакции"
"Admin Approval Notification","транзакции"
"Admin Disapproval Notification","транзакции"
"Sales Notification","транзакции"
"(Press Ctrl+Select to select multiple product types)","транзакции"
"New Product Added Notification","транзакции"
"New Product Approval Notification","транзакции"
"Product Enabled Notification","транзакции"
"Product Disabled Notification","транзакции"
"New Review Notification","транзакции"
"Review Approval Notification","транзакции"
"Enable Seller Review in seller profile page","транзакции"
"Go to System -> Configuration ->Store Email Addresses","транзакции"
"New Product Added Notification","транзакции"
"Simple","транзакции"
"Virtual","транзакции"
"Downloadable","транзакции"
"Select Email Template for Product Disabled Notification","транзакции"
"Apptha","транзакции"
"Rate and leave feedback for seller store","транзакции"
"Feedback about seller:","транзакции"
"Rate Seller:","транзакции"
"Reviews and Ratings of %s","транзакции"
"View all Reviews","транзакции"
"Share with Google+","транзакции"
"Share with Facebook","транзакции"
"Review %s Store","транзакции"
"Write a Review to this Seller","транзакции"
"Have you bought something from this seller?","транзакции"
"Login to Review","транзакции"
"All Products","транзакции"
"You have no items in your shopping cart.","транзакции"
"Manage Deals","транзакции"
"Vacation Mode","транзакции"
"My Vacation","транзакции"
"Vacation Configuration","транзакции"
"Vacation Status","транзакции"
"Vacation Message","транзакции"
"Disable Products","транзакции"
"From Date","транзакции"
"To Date","транзакции"
"YES","транзакции"
"NO","транзакции"
"Average Ratings","транзакции"
"SKU","транзакции"
"Qty","транзакции"
"Type","транзакции"
"Products of ","транзакции"
"Customer Since","транзакции"
"Email","транзакции"
"Products","транзакции"
"Reviews and Ratings","транзакции"
"Configuration","транзакции"
"Comments","транзакции"
"Reviewed On","транзакции"
"Product ID","транзакции"
"Review","транзакции"
"Customer ID","транзакции"
"Enable Product Sold Count","транзакции"
"Allow seller to set product as home page banner images","транзакции"
"Select Cancel Order Notification Email Template","транзакции"
"Cancel Order Email Notification","транзакции"
"Enable Seller Vacation Mode","транзакции"
"New Seller Registration Email Template","транзакции"
"Need Admin Approval for Seller Registration","транзакции"
"Enter Facebook page","транзакции"
"Enter Twitter page","транзакции"
"Enter Google page","транзакции"
"More than 10 available","транзакции"
"sold","транзакции"
"More sellers selling this product","транзакции"
"View all sellers","транзакции"
"Seller Information","транзакции"
"Product Information","транзакции"
"Minimum starting price is ","транзакции"
"Cart","транзакции"
" Feedback","транзакции"
" Feedbacks","транзакции"
"Available Sellers ","транзакции"
"with minimum starting price is ","транзакции"
"Back to Product Information","транзакции"
"Compare Price by assigning existing product[s]","транзакции"
" based on ","транзакции"
" rating[s]","транзакции"
"Register as seller ","транзакции"
"Become a seller","транзакции"
"Account Dashboard","транзакции"
"I agree the Terms and Condition","транзакции"
"Terms and Condition","транзакции"
"Seller Reviews","транзакции"
"You have not review any seller","транзакции"




